Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_RF,algo_MLPC
instance_0,2,1,6,2,1,2,1,0,15,6,16,7,1,0
instance_0,2,1,6,3,1,2,1,0,16,5,16,6,0,0
instance_0,2,1,6,2,1,2,0,0,16,5,16,6,0,1
instance_0,2,1,6,2,1,2,1,0,16,4,16,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,5,15,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,5,17,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,5,16,5,1,0
instance_0,2,1,6,2,1,2,1,0,16,5,16,7,1,0
instance_0,2,1,6,3,1,2,1,0,16,7,16,6,0,0
instance_0,2,1,6,2,1,2,0,0,16,7,16,6,0,1
instance_0,2,1,6,2,1,2,1,0,16,8,16,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,7,15,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,7,17,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,7,16,5,1,0
instance_0,2,1,6,2,1,2,1,0,16,7,16,7,1,0
instance_0,2,1,6,3,1,2,1,0,16,6,15,6,0,0
instance_0,2,1,6,2,1,2,0,0,16,6,15,6,0,1
instance_0,2,1,6,2,1,2,1,0,16,6,14,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,6,15,5,1,0
instance_0,2,1,6,2,1,2,1,0,16,6,15,7,1,0
instance_0,2,1,6,3,1,2,1,0,16,6,17,6,0,0
instance_0,2,1,6,2,1,2,0,0,16,6,17,6,0,1
instance_0,2,1,6,2,1,2,1,0,16,6,18,6,1,0
instance_0,2,1,6,2,1,2,1,0,16,6,17,5,1,0
instance_0,2,1,6,2,1,2,1,0,16,6,17,7,1,0
instance_0,2,1,6,3,1,2,1,0,16,6,16,5,0,0
instance_0,2,1,6,2,1,2,0,0,16,6,16,5,0,1
instance_0,2,1,6,2,1,2,1,0,16,6,16,4,1,0
instance_0,2,1,6,3,1,2,1,0,16,6,16,7,0,0
instance_0,2,1,6,2,1,2,0,0,16,6,16,7,0,1
instance_0,2,1,6,2,1,2,1,0,16,6,16,8,1,0
instance_0,1,1,6,2,1,2,0,0,17,6,17,6,0,1
instance_0,2,0,6,2,1,2,0,0,17,6,17,6,0,0
instance_0,2,2,6,2,1,2,0,0,17,6,17,6,0,1
instance_0,2,1,5,2,1,2,0,0,17,6,17,6,0,1
instance_0,2,1,7,2,1,2,0,0,17,6,17,6,0,1
instance_0,2,1,6,1,1,2,0,0,17,6,17,6,0,1
instance_0,2,1,6,2,2,2,0,0,17,6,17,6,0,1
instance_0,2,1,6,2,1,1,0,0,17,6,17,6,0,1
instance_0,2,1,6,2,1,3,0,0,17,6,17,6,0,0
instance_0,2,1,6,2,1,2,0,0,18,6,17,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,5,17,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,7,17,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,18,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,17,5,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,17,7,0,1
instance_0,1,1,6,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,0,6,2,1,2,0,0,17,6,16,6,0,0
instance_0,2,2,6,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,5,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,7,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,6,1,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,6,2,2,2,0,0,17,6,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,17,6,16,6,0,1
instance_0,2,1,6,2,1,3,0,0,17,6,16,6,0,0
instance_0,2,1,6,2,1,2,0,0,18,6,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,5,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,7,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,15,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,16,5,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,16,7,0,1
instance_0,2,1,6,2,1,2,0,0,16,7,17,7,0,1
instance_0,2,1,6,2,1,2,0,0,17,7,16,7,0,1
instance_0,2,1,7,2,1,2,0,0,16,6,17,7,0,1
instance_0,2,1,7,2,1,2,0,0,16,7,16,7,0,1
instance_0,2,1,7,2,1,2,0,0,16,7,17,6,0,1
instance_0,2,1,7,2,1,2,0,0,17,6,16,7,0,1
instance_0,2,1,7,2,1,2,0,0,17,7,16,6,0,1
instance_0,1,0,6,2,1,2,0,0,16,6,16,6,0,0
instance_0,1,2,6,2,1,2,0,0,16,6,16,6,0,1
instance_0,1,1,5,2,1,2,0,0,16,6,16,6,0,1
instance_0,1,1,7,2,1,2,0,0,16,6,16,6,0,1
instance_0,1,1,6,1,1,2,0,0,16,6,16,6,0,1
instance_0,1,1,6,2,2,2,0,0,16,6,16,6,0,1
instance_0,1,1,6,2,1,1,0,0,16,6,16,6,0,1
instance_0,1,1,6,2,1,3,0,0,16,6,16,6,0,0
instance_0,1,1,6,2,1,2,0,0,15,6,16,6,0,1
instance_0,1,1,6,2,1,2,1,0,15,6,15,6,1,0
instance_0,1,1,6,2,1,2,0,0,16,5,16,6,0,1
instance_0,1,1,6,2,1,2,0,0,16,7,16,6,0,1
instance_0,1,1,6,2,1,2,0,0,16,6,15,6,0,1
instance_0,1,1,6,2,1,2,0,0,16,6,17,6,0,1
instance_0,1,1,6,2,1,2,0,0,16,6,16,5,0,1
instance_0,1,1,6,2,1,2,0,0,16,6,16,7,0,1
instance_0,2,0,5,2,1,2,0,0,16,6,16,6,0,0
instance_0,2,0,7,2,1,2,0,0,16,6,16,6,0,0
instance_0,2,0,6,1,1,2,0,0,16,6,16,6,0,0
instance_0,2,0,6,2,2,2,0,0,16,6,16,6,0,0
instance_0,2,0,6,2,1,1,0,0,16,6,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,15,6,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,16,5,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,16,7,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,16,6,15,6,0,0
instance_0,2,0,6,2,1,2,0,0,16,6,17,6,0,0
instance_0,2,0,6,2,1,2,0,0,16,6,16,5,0,0
instance_0,2,0,6,2,1,2,0,0,16,6,16,7,0,0
instance_0,2,3,6,2,1,2,0,0,16,6,16,6,0,1
instance_0,2,2,5,2,1,2,0,0,16,6,16,6,0,1
instance_0,2,2,7,2,1,2,0,0,16,6,16,6,0,1
instance_0,2,2,6,1,1,2,0,0,16,6,16,6,0,1
instance_0,2,2,6,2,2,2,0,0,16,6,16,6,0,1
instance_0,2,2,6,2,1,1,0,0,16,6,16,6,0,1
instance_0,2,2,6,2,1,3,0,0,16,6,16,6,0,0
instance_0,2,2,6,2,1,2,0,0,15,6,16,6,0,1
instance_0,2,2,6,2,1,2,1,0,15,6,15,6,1,0
instance_0,2,2,6,2,1,2,0,0,16,5,16,6,0,1
instance_0,2,2,6,2,1,2,0,0,16,7,16,6,0,1
instance_0,2,2,6,2,1,2,0,0,16,6,15,6,0,1
instance_0,2,2,6,2,1,2,0,0,16,6,17,6,0,1
instance_0,2,2,6,2,1,2,0,0,16,6,16,5,0,1
instance_0,2,2,6,2,1,2,0,0,16,6,16,7,0,1
instance_0,2,1,4,2,1,2,0,0,16,6,16,6,0,1
instance_0,2,1,5,1,1,2,0,0,16,6,16,6,0,1
instance_0,2,1,5,2,2,2,0,0,16,6,16,6,0,1
instance_0,2,1,5,2,1,1,0,0,16,6,16,6,0,1
instance_0,2,1,5,2,1,3,0,0,16,6,16,6,0,0
instance_0,2,1,5,2,1,2,0,0,15,6,16,6,0,1
instance_0,2,1,5,2,1,2,1,0,15,6,15,6,1,0
instance_0,2,1,5,2,1,2,0,0,16,5,16,6,0,1
instance_0,2,1,5,2,1,2,0,0,16,7,16,6,0,1
instance_0,2,1,5,2,1,2,0,0,16,6,15,6,0,1
instance_0,2,1,5,2,1,2,0,0,16,6,17,6,0,1
instance_0,2,1,5,2,1,2,0,0,16,6,16,5,0,1
instance_0,2,1,5,2,1,2,0,0,16,6,16,7,0,1
instance_0,2,1,7,1,1,2,0,0,16,6,16,6,0,1
instance_0,2,1,7,2,2,2,0,0,16,6,16,6,0,1
instance_0,2,1,7,2,1,1,0,0,16,6,16,6,0,1
instance_0,2,1,7,2,1,3,0,0,16,6,16,6,0,0
instance_0,2,1,7,2,1,2,0,0,15,6,16,6,0,1
instance_0,2,1,7,2,1,2,1,0,15,6,15,6,1,0
instance_0,2,1,7,2,1,2,0,0,16,5,16,6,0,1
instance_0,2,1,7,2,1,2,0,0,16,7,16,6,0,1
instance_0,2,1,7,2,1,2,0,0,16,6,15,6,0,1
instance_0,2,1,7,2,1,2,0,0,16,6,17,6,0,1
instance_0,2,1,7,2,1,2,0,0,16,6,16,5,0,1
instance_0,2,1,7,2,1,2,0,0,16,6,16,7,0,1
instance_0,2,1,6,1,2,2,0,0,16,6,16,6,0,1
instance_0,2,1,6,1,1,1,0,0,16,6,16,6,0,1
instance_0,2,1,6,1,1,3,0,0,16,6,16,6,0,0
instance_0,2,1,6,1,1,2,0,0,15,6,16,6,0,1
instance_0,2,1,6,1,1,2,1,0,15,6,15,6,1,0
instance_0,2,1,6,1,1,2,0,0,16,5,16,6,0,1
instance_0,2,1,6,1,1,2,0,0,16,7,16,6,0,1
instance_0,2,1,6,1,1,2,0,0,16,6,15,6,0,1
instance_0,2,1,6,1,1,2,0,0,16,6,17,6,0,1
instance_0,2,1,6,1,1,2,0,0,16,6,16,5,0,1
instance_0,2,1,6,1,1,2,0,0,16,6,16,7,0,1
instance_0,2,1,6,2,3,2,0,0,16,6,16,6,0,0
instance_0,2,1,6,2,2,1,0,0,16,6,16,6,0,1
instance_0,2,1,6,2,2,3,0,0,16,6,16,6,0,0
instance_0,2,1,6,2,2,2,0,0,15,6,16,6,0,1
instance_0,2,1,6,2,2,2,1,0,15,6,15,6,1,0
instance_0,2,1,6,2,2,2,0,0,16,5,16,6,0,1
instance_0,2,1,6,2,2,2,0,0,16,7,16,6,0,1
instance_0,2,1,6,2,2,2,0,0,16,6,15,6,0,1
instance_0,2,1,6,2,2,2,0,0,16,6,17,6,0,1
instance_0,2,1,6,2,2,2,0,0,16,6,16,5,0,1
instance_0,2,1,6,2,2,2,0,0,16,6,16,7,0,1
instance_0,2,1,6,2,1,0,0,0,16,6,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,15,6,16,6,0,1
instance_0,2,1,6,2,1,1,1,0,15,6,15,6,1,0
instance_0,2,1,6,2,1,1,0,0,16,5,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,16,7,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,16,6,15,6,0,1
instance_0,2,1,6,2,1,1,0,0,16,6,17,6,0,1
instance_0,2,1,6,2,1,1,0,0,16,6,16,5,0,1
instance_0,2,1,6,2,1,1,0,0,16,6,16,7,0,1
instance_0,2,1,6,2,1,3,0,0,15,6,16,6,0,0
instance_0,2,1,6,2,1,3,0,0,16,5,16,6,0,0
instance_0,2,1,6,2,1,3,0,0,16,7,16,6,0,0
instance_0,2,1,6,2,1,3,0,0,16,6,15,6,0,0
instance_0,2,1,6,2,1,3,0,0,16,6,17,6,0,0
instance_0,2,1,6,2,1,3,0,0,16,6,16,5,0,0
instance_0,2,1,6,2,1,3,0,0,16,6,16,7,0,0
instance_0,2,1,6,2,1,2,0,0,14,6,16,6,0,1
instance_0,2,1,6,2,1,2,1,0,14,6,15,6,1,0
instance_0,2,1,6,2,1,2,0,0,15,5,16,6,0,1
instance_0,2,1,6,2,1,2,1,0,15,5,15,6,1,0
instance_0,2,1,6,2,1,2,0,0,15,7,16,6,0,1
instance_0,2,1,6,2,1,2,1,0,15,7,15,6,1,0
instance_0,2,1,6,3,1,2,1,0,15,6,15,6,0,0
instance_0,2,1,6,2,1,2,1,0,15,6,14,6,1,0
instance_0,2,1,6,2,1,2,1,0,15,6,15,5,1,0
instance_0,2,1,6,2,1,2,1,0,15,6,15,7,1,0
instance_0,2,1,6,2,1,2,0,0,15,6,17,6,0,1
instance_0,2,1,6,2,1,2,0,0,15,6,16,5,0,1
instance_0,2,1,6,2,1,2,0,0,15,6,16,7,0,1
instance_0,2,1,6,2,1,2,0,0,16,4,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,5,15,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,5,17,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,5,16,5,0,1
instance_0,2,1,6,2,1,2,0,0,16,5,16,7,0,1
instance_0,2,1,6,2,1,2,0,0,16,8,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,7,15,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,7,17,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,7,16,5,0,1
instance_0,2,1,6,2,1,2,0,0,16,7,16,7,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,14,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,15,5,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,15,7,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,18,6,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,17,5,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,17,7,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,16,4,0,1
instance_0,2,1,6,2,1,2,0,0,16,6,16,8,0,1
instance_0,1,0,6,2,1,2,0,0,17,6,16,6,0,0
instance_0,1,2,6,2,1,2,0,0,17,6,16,6,0,1
instance_0,1,1,5,2,1,2,0,0,17,6,16,6,0,1
instance_0,1,1,7,2,1,2,0,0,17,6,16,6,0,1
instance_0,1,1,6,1,1,2,0,0,17,6,16,6,0,1
instance_0,1,1,6,2,2,2,0,0,17,6,16,6,0,1
instance_0,1,1,6,2,1,1,0,0,17,6,16,6,0,1
instance_0,1,1,6,2,1,3,0,0,17,6,16,6,0,0
instance_0,1,1,6,2,1,2,0,0,18,6,16,6,0,1
instance_0,1,1,6,2,1,2,0,0,17,5,16,6,0,1
instance_0,1,1,6,2,1,2,0,0,17,7,16,6,0,1
instance_0,1,1,6,2,1,2,0,0,17,6,15,6,0,1
instance_0,1,1,6,2,1,2,0,0,17,6,16,5,0,1
instance_0,1,1,6,2,1,2,0,0,17,6,16,7,0,1
instance_0,2,0,5,2,1,2,0,0,17,6,16,6,0,0
instance_0,2,0,7,2,1,2,0,0,17,6,16,6,0,0
instance_0,2,0,6,1,1,2,0,0,17,6,16,6,0,0
instance_0,2,0,6,2,2,2,0,0,17,6,16,6,0,0
instance_0,2,0,6,2,1,1,0,0,17,6,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,18,6,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,17,5,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,17,7,16,6,0,0
instance_0,2,0,6,2,1,2,0,0,17,6,15,6,0,0
instance_0,2,0,6,2,1,2,0,0,17,6,16,5,0,0
instance_0,2,0,6,2,1,2,0,0,17,6,16,7,0,0
instance_0,2,3,6,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,2,5,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,2,7,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,2,6,1,1,2,0,0,17,6,16,6,0,1
instance_0,2,2,6,2,2,2,0,0,17,6,16,6,0,1
instance_0,2,2,6,2,1,1,0,0,17,6,16,6,0,1
instance_0,2,2,6,2,1,3,0,0,17,6,16,6,0,0
instance_0,2,2,6,2,1,2,0,0,18,6,16,6,0,1
instance_0,2,2,6,2,1,2,0,0,17,5,16,6,0,1
instance_0,2,2,6,2,1,2,0,0,17,7,16,6,0,1
instance_0,2,2,6,2,1,2,0,0,17,6,15,6,0,1
instance_0,2,2,6,2,1,2,0,0,17,6,16,5,0,1
instance_0,2,2,6,2,1,2,0,0,17,6,16,7,0,1
instance_0,2,1,4,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,5,1,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,5,2,2,2,0,0,17,6,16,6,0,1
instance_0,2,1,5,2,1,1,0,0,17,6,16,6,0,1
instance_0,2,1,5,2,1,3,0,0,17,6,16,6,0,0
instance_0,2,1,5,2,1,2,0,0,18,6,16,6,0,1
instance_0,2,1,5,2,1,2,0,0,17,5,16,6,0,1
instance_0,2,1,5,2,1,2,0,0,17,7,16,6,0,1
instance_0,2,1,5,2,1,2,0,0,17,6,15,6,0,1
instance_0,2,1,5,2,1,2,0,0,17,6,16,5,0,1
instance_0,2,1,5,2,1,2,0,0,17,6,16,7,0,1
instance_0,2,1,8,2,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,7,1,1,2,0,0,17,6,16,6,0,1
instance_0,2,1,7,2,2,2,0,0,17,6,16,6,0,1
instance_0,2,1,7,2,1,1,0,0,17,6,16,6,0,1
instance_0,2,1,7,2,1,3,0,0,17,6,16,6,0,0
instance_0,2,1,7,2,1,2,0,0,18,6,16,6,0,1
instance_0,2,1,7,2,1,2,0,0,17,5,16,6,0,1
instance_0,2,1,7,2,1,2,0,0,17,6,15,6,0,1
instance_0,2,1,7,2,1,2,0,0,17,6,16,5,0,1
instance_0,2,1,6,1,2,2,0,0,17,6,16,6,0,1
instance_0,2,1,6,1,1,1,0,0,17,6,16,6,0,1
instance_0,2,1,6,1,1,3,0,0,17,6,16,6,0,0
instance_0,2,1,6,1,1,2,0,0,18,6,16,6,0,1
instance_0,2,1,6,1,1,2,0,0,17,5,16,6,0,1
instance_0,2,1,6,1,1,2,0,0,17,7,16,6,0,1
instance_0,2,1,6,1,1,2,0,0,17,6,15,6,0,1
instance_0,2,1,6,1,1,2,0,0,17,6,16,5,0,1
instance_0,2,1,6,1,1,2,0,0,17,6,16,7,0,1
instance_0,2,1,6,2,3,2,0,0,17,6,16,6,0,0
instance_0,2,1,6,2,2,1,0,0,17,6,16,6,0,1
instance_0,2,1,6,2,2,3,0,0,17,6,16,6,0,0
instance_0,2,1,6,2,2,2,0,0,18,6,16,6,0,1
instance_0,2,1,6,2,2,2,0,0,17,5,16,6,0,1
instance_0,2,1,6,2,2,2,0,0,17,7,16,6,0,1
instance_0,2,1,6,2,2,2,0,0,17,6,15,6,0,1
instance_0,2,1,6,2,2,2,0,0,17,6,16,5,0,1
instance_0,2,1,6,2,2,2,0,0,17,6,16,7,0,1
instance_0,2,1,6,2,1,0,0,0,17,6,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,18,6,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,17,5,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,17,7,16,6,0,1
instance_0,2,1,6,2,1,1,0,0,17,6,15,6,0,1
instance_0,2,1,6,2,1,1,0,0,17,6,16,5,0,1
instance_0,2,1,6,2,1,1,0,0,17,6,16,7,0,1
instance_0,2,1,6,2,1,3,0,0,18,6,16,6,0,0
instance_0,2,1,6,2,1,3,0,0,17,5,16,6,0,0
instance_0,2,1,6,2,1,3,0,0,17,7,16,6,0,0
instance_0,2,1,6,2,1,3,0,0,17,6,15,6,0,0
instance_0,2,1,6,2,1,3,0,0,17,6,16,5,0,0
instance_0,2,1,6,2,1,3,0,0,17,6,16,7,0,0
instance_0,2,1,6,2,1,2,0,0,19,6,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,18,5,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,18,7,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,18,6,15,6,0,1
instance_0,2,1,6,2,1,2,0,0,18,6,16,5,0,1
instance_0,2,1,6,2,1,2,0,0,18,6,16,7,0,1
instance_0,2,1,6,2,1,2,0,0,17,4,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,5,15,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,5,16,5,0,1
instance_0,2,1,6,2,1,2,0,0,17,5,16,7,0,1
instance_0,2,1,6,2,1,2,0,0,17,8,16,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,7,15,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,7,16,5,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,14,6,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,15,5,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,15,7,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,16,4,0,1
instance_0,2,1,6,2,1,2,0,0,17,6,16,8,0,1
